SYMBOL,SERIES,ISIN,scrip_code,VaR_Margin,ELM,Adhoc_Margin,MTF Margin,market_cap,Turnover,nse_fo,MTF Eligibility,MarKet Cap Category,SUR INDICATOR,company_name
AVALON,EQ,INE0LCL01028,543896,21.45,3.5,0,43,11673,56.64,N,Y,Mid Cap,,AVALON TECHNOLOGIES LTD
AVANTEL,EQ,INE005B01027,532406,20.02,3.5,0,42,4520,36.03,N,Y,Small Cap,,AVANTEL LIMITED
AVANTIFEED,EQ,INE871C01038,512573,22.34,3.5,0,44,13329,72.74,N,Y,Mid Cap,,AVANTI FEEDS LIMITED
AVL,EQ,INE679V01027,540205,15.52,3.5,0,37,8322,22.82,N,Y,Mid Cap,,ADITYA VISION LIMITED
AWFIS,EQ,INE108V01019,544181,19.32,3.5,0,41,2219,8.77,N,Y,Small Cap,,AWFIS SPACE SOLUTIONS LTD
AWL,EQ,INE699H01024,543458,13.36,3.5,0,35,23796,75.15,N,Y,Large Cap,,AWL AGRI BUSINESS LIMITED
AXISCADES,EQ,INE555B01013,532395,21.85,3.5,0,43,7474,29.81,N,Y,Mid Cap,,AXISCADES TECH LTD
AXISGOLD,EQ,INF846K01W80,,13.32,3.5,0,35,5111,35.98,N,Y,Mid Cap,,AXIS MF - AXIS GOLD ETF
AXISILVER,EQ,INF846K011K1,,22.42,3.5,0,44,1859,33.31,N,Y,Small Cap,,AXISAMC - AXISILVER
AYE,EQ,INE501X01029,544699,17.23,3.5,0,40,4084,26.9,N,Y,Small Cap,,AYE FINANCE LIMITED
AZAD,EQ,INE02IJ01035,544061,17.29,3.5,0,39,12961,105.84,N,Y,Mid Cap,,AZAD ENGINEERING LIMITED
BAJAJELEC,EQ,INE193E01025,500031,12.87,3.5,0,40,3747,6.59,N,Y,Small Cap,,BAJAJ ELECT.LTD
BAJAJHFL,EQ,INE377Y01014,544252,9.73,3.5,0,31,73283,46.92,N,Y,Large Cap,,BAJAJ HOUSING FINANCE LTD
BAJAJHIND,EQ,INE306A01021,500032,16.82,3.5,0,40,4502,15.82,N,Y,Small Cap,,BAJAJ HINDUSTHAN SUGAR LT
BAJEL,EQ,INE0KQN01018,544042,19.32,3.5,0,41,2330,8.07,N,Y,Small Cap,,BAJEL PROJECTS LIMITED
BALKRISIND,EQ,INE787D01026,502355,12.75,3.5,0,34,42988,56.66,N,Y,Large Cap,,BALKRISHNA IND. LTD
BALRAMCHIN,EQ,INE119A01028,500038,13.54,3.5,0,35,10841,28.53,N,Y,Mid Cap,,BALRAMPUR CHINI MILLS LTD
BALUFORGE,EQ,INE011E01029,531112,22.13,3.5,0,44,5436,32.53,N,Y,Mid Cap,,BALU FORGE INDUSTRIES LTD
BANCOINDIA,EQ,INE213C01025,500039,21.14,3.5,0,43,9511,16.63,N,Y,Mid Cap,,BANCO PRODUCTS (I) LTD
BANKBEES,EQ,INF204KB15I9,,9,3.5,0,30,8648,77.67,N,Y,Mid Cap,,NIP IND ETF BANK BEES
BANKIETF,EQ,INF109KC15I8,,9,3.5,0,40,3097,10.4,N,Y,Small Cap,,ICICIPRAMC - IPRU5008
BANKNIFTY1,EQ,INF174KA1ZB7,,9,3.5,0,40,4677,5.47,N,Y,Small Cap,,KOTAKMAMC-KOTAKBKETF
BASF,EQ,INE373A01013,500042,13.72,3.5,0,35,16271,12.57,N,Y,Mid Cap,,BASF INDIA LTD
BATAINDIA,EQ,INE176A01028,500043,12.83,3.5,0,34,9190,98.14,N,Y,Mid Cap,,BATA INDIA LTD
BAYERCROP,EQ,INE462A01022,506285,10.12,3.5,0,32,18873,13.42,N,Y,Mid Cap,,BAYER CROPSCIENCE LTD
BBL,EQ,INE464A01036,503960,17.66,3.5,0,40,3229,10.42,N,Y,Small Cap,,BHARAT BIJLEE LTD
BBTC,EQ,INE050A01025,501425,14.24,3.5,0,36,10967,8.46,N,Y,Mid Cap,,BOMBAY BURMAH TRADING COR
BCG,EQ,INE425B01027,532368,29.12,3.5,0,51,2034,14.05,N,Y,Small Cap,,BRIGHTCOM GROUP LIMITED
BECTORFOOD,EQ,INE495P01020,543253,14.98,3.5,0,36,5818,13.98,N,Y,Mid Cap,,MRS BECTORS FOOD SPE LTD
BELRISE,EQ,INE894V01022,544405,13.79,3.5,0,35,21767,78.38,N,Y,Large Cap,,BELRISE INDUSTRIES LTD
BEML,EQ,INE258A01024,500048,18.15,3.5,0,40,14599,39.05,N,Y,Mid Cap,,BEML LIMITED
BEPL,EQ,INE922A01025,500052,13.64,3.5,0,40,2535,9.65,N,Y,Small Cap,,BHANSALI ENG. POLYMERS LT
BERGEPAINT,EQ,INE463A01038,509480,11.41,3.5,0,33,61862,52.37,N,Y,Large Cap,,BERGER PAINTS (I) LTD
BHAGCHEM,EQ,INE414D01027,531719,18.85,3.5,0,40,3707,12.51,N,Y,Small Cap,,BHAGIRADHA CHEM & INDS L
BHARATCOAL,EQ,INE05XR01022,544678,13.3,3.5,0,35,19457,217.47,N,Y,Mid Cap,,BHARAT COKING COAL LTD
BHARTIHEXA,EQ,INE343G01021,544162,12.24,3.5,0,34,73440,29.06,N,Y,Large Cap,,BHARTI HEXACOM LIMITED
BIKAJI,EQ,INE00E101023,543653,11.29,3.5,0,33,16322,13.78,N,Y,Mid Cap,,BIKAJI FOODS INTERN LTD
BIRLACORPN,EQ,INE340A01012,500335,14.7,3.5,0,36,7666,7.95,N,Y,Mid Cap,,BIRLA CORPORATION LTD
BLACKBUCK,EQ,INE0UIZ01018,544288,17.02,3.5,0,39,10201,23.32,N,Y,Mid Cap,,BLACKBUCK LIMITED
BLS,EQ,INE153T01027,540073,19.21,3.5,0,41,10672,38.73,N,Y,Mid Cap,,BLS INTL SERVS LTD
BLSE,EQ,INE0NLT01010,544107,17.47,3.5,0,40,2046,5.2,N,Y,Small Cap,,BLS E-SERVICES LIMITED
BLUEDART,EQ,INE233B01017,526612,11.89,3.5,0,33,11861,8.35,N,Y,Mid Cap,,BLUE DART EXPRESS LTD
BLUEJET,EQ,INE0KBH01020,544009,20.82,3.5,0,42,8964,25.47,N,Y,Mid Cap,,BLUE JET HEALTHCARE LTD
BLUESTONE,EQ,INE304W01038,544484,15.25,3.5,0,37,8052,17.58,N,Y,Mid Cap,,BLUESTONE JEWEL LFSTL LTD
BOMDYEING,EQ,INE032A01023,500020,18.31,3.5,0,40,2796,17.58,N,Y,Small Cap,,BOMBAY DYEING & MFG. CO L
BORORENEW,EQ,INE666D01022,502219,17.81,3.5,0,39,8484,42.49,N,Y,Mid Cap,,BOROSIL RENEWABLES LTD
BOSCH-HCIL,EQ,INE782A01015,523398,15.35,3.5,0,40,3769,25.47,N,Y,Small Cap,,BOSCH HOME COMFRT IND LTD
BRIGADE,EQ,INE791I01019,532929,14.11,3.5,0,36,17727,59.29,N,Y,Mid Cap,,BRIGADE ENTER. LTD
BSLNIFTY,EQ,INF209KB19D1,,6,2,0,25,3187,6.04,N,Y,Small Cap,,ADITYBIRLA SL NIF ETF-GR
BSOFT,EQ,INE836A01035,532400,15.15,3.5,0,37,8606,63.44,N,Y,Mid Cap,,BIRLASOFT LIMITED
CAMLINFINE,EQ,INE052I01032,532834,24.87,3.5,0,46,2659,38.15,N,Y,Small Cap,,CAMLIN FINE SCIENCES LTD
CAMPUS,EQ,INE278Y01022,543523,12.08,3.5,0,34,7114,10.36,N,Y,Mid Cap,,CAMPUS ACTIVEWEAR LIMITED
CANFINHOME,EQ,INE477A01020,511196,11.08,3.5,0,33,11781,15.6,N,Y,Mid Cap,,CAN FIN HOMES LTD
CANHLIFE,EQ,INE01TY01017,544583,9.27,3.5,0,31,12907,6.84,N,Y,Mid Cap,,CANARA HSBC LIFE INS CO L
CAPACITE,EQ,INE264T01014,540710,19.3,3.5,0,41,2220,17.1,N,Y,Small Cap,,CAPACITE INFRAPROJECT LTD
CAPILLARY,EQ,INE0ILV01024,544614,12.37,3.5,0,40,3958,23.11,N,Y,Small Cap,,CAPILLARY TECHNO INDIA L
CAPLIPOINT,EQ,INE475E01026,524742,14.98,3.5,0,36,19147,55.24,N,Y,Mid Cap,,CAPLIN POINT LAB LTD.
CARBORUNIV,EQ,INE120A01034,513375,13.76,3.5,0,35,22142,73.14,N,Y,Large Cap,,CARBORUNDUM UNIVERSAL LTD
CARERATING,EQ,INE752H01013,534804,14.18,3.5,0,36,5043,7.1,N,Y,Mid Cap,,CARE RATINGS LIMITED
CARRARO,EQ,INE0V7W01012,544320,19.17,3.5,0,41,3250,8.76,N,Y,Small Cap,,CARRARO INDIA LIMITED
CARYSIL,EQ,INE482D01024,524091,19.86,3.5,0,41,3409,20.69,N,Y,Small Cap,,CARYSIL LIMITED
CASTROLIND,EQ,INE172A01027,500870,9.43,3.5,0,31,18564,25.43,N,Y,Mid Cap,,CASTROL INDIA LIMITED
CCAVENUE,EQ,INE483S01020,539807,16.01,3.5,0,38,5449,22.83,N,Y,Mid Cap,,AVENUESAI LIMITED
CCL,EQ,INE421D01022,519600,14.58,3.5,0,36,15584,104.77,N,Y,Mid Cap,,CCL PRODUCTS (I) LTD
CEATLTD,EQ,INE482A01020,500878,15.55,3.5,0,37,13959,43.67,N,Y,Mid Cap,,CEAT LIMITED
CEIGALL,EQ,INE0AG901020,544223,12.19,3.5,0,34,6624,23.21,N,Y,Mid Cap,,CEIGALL INDIA LIMITED
CEINSYS,EQ,INE016Q01014,538734,24.32,3.5,0,46,1639,8.75,N,Y,Small Cap,,CEINSYS TECH LIMITED
CELLO,EQ,INE0LMW01024,544012,12.06,3.5,0,34,8408,10.14,N,Y,Mid Cap,,CELLO WORLD LIMITED
CENTRALBK,EQ,INE483A01010,532885,14.14,3.5,0,36,29426,65.48,N,Y,Large Cap,,CENTRAL BANK OF INDIA
CENTUM,EQ,INE320B01020,517544,21.98,3.5,0,43,5352,22.33,N,Y,Mid Cap,,CENTUM ELECTRONICS LTD
CERA,EQ,INE739E01017,532443,12.79,3.5,0,34,8178,19.29,N,Y,Mid Cap,,CERA SANITARYWARE LTD
CESC,EQ,INE486A01021,500084,12.79,3.5,0,34,22455,25.39,N,Y,Large Cap,,CESC LTD
CGCL,EQ,INE180C01042,531595,15.79,3.5,0,37,21012,85.97,N,Y,Large Cap,,CAPRI GLOBAL CAPITAL LTD
CHALET,EQ,INE427F01016,542399,12.44,3.5,0,34,18105,18.31,N,Y,Mid Cap,,CHALET HOTELS LIMITED
CHAMBLFERT,EQ,INE085A01013,500085,13.24,3.5,0,35,19155,59.69,N,Y,Mid Cap,,CHAMBAL FERTILIZERS LTD
CHEMPLASTS,EQ,INE488A01050,543336,18.82,3.5,0,40,3280,27.65,N,Y,Small Cap,Loss making,CHEMPLAST SANMAR LIMITED
CHENNPETRO,EQ,INE178A01016,500110,20.11,3.5,0,42,16797,136.48,N,Y,Mid Cap,,CHENNAI PETROLEUM CORP LT
CHOICEIN,EQ,INE102B01014,531358,12.83,3.5,0,34,15805,50.51,N,Y,Mid Cap,,CHOICE INTERNATIONAL LTD
CHOLAHLDNG,EQ,INE149A01033,504973,16.11,3.5,0,38,30953,41.16,N,Y,Large Cap,,CHOLAMANDALAM FIN HOL LTD
CIEINDIA,EQ,INE536H01010,532756,11.92,3.5,0,33,17826,11.94,N,Y,Mid Cap,,CIE AUTOMOTIVE INDIA LTD
CLEAN,EQ,INE227W01023,543318,13.67,3.5,0,35,8381,46.12,N,Y,Mid Cap,,CLEAN SCIENCE & TECH LTD
CLEANMAX,EQ,INE647U01026,544717,13.35,3.5,0,35,16244,75.26,N,Y,Mid Cap,,CLEAN MAX ENVIRO EN SOL L
CMPDI,EQ,INE05HV01027,544739,11.26,3.5,0,33,18450,133.78,N,Y,Mid Cap,,CENTRAL MINE P N D INST L
CMSINFO,EQ,INE925R01014,543441,11.26,3.5,0,40,4951,12.93,N,Y,Small Cap,,CMS INFO SYSTEMS LIMITED
CONCORDBIO,EQ,INE338H01029,543960,17.51,3.5,0,39,13506,53.19,N,Y,Mid Cap,,CONCORD BIOTECH LIMITED
COROMANDEL,EQ,INE169A01031,506395,13.12,3.5,0,35,58513,79.6,N,Y,Large Cap,,COROMANDEL INTERNTL. LTD
CORONA,EQ,INE02ZQ01018,544644,9.58,3.5,0,31,11918,14.49,N,Y,Mid Cap,,CORONA REMEDIES LIMITED
COSMOFIRST,EQ,INE757A01017,508814,19.07,3.5,0,41,2142,10.9,N,Y,Small Cap,,COSMO FIRST LIMITED
CPSEETF,EQ,INF457M01133,,9,3.5,0,30,20186,16.37,N,Y,Large Cap,,CPSE ETF
CRAFTSMAN,EQ,INE00LO01017,543276,15.47,3.5,0,37,22387,104.02,N,Y,Large Cap,,CRAFTSMAN AUTOMATION LTD
CRAMC,EQ,INE218I01013,544580,12.94,3.5,0,40,4967,9.75,N,Y,Small Cap,,CANARA ROBECO AMC LIMITED
CREDITACC,EQ,INE741K01010,541770,17.42,3.5,0,39,23386,43.71,N,Y,Large Cap,,CREDITACCESS GRAMEEN LTD
CRISIL,EQ,INE007A01025,500092,11.73,3.5,0,33,29890,20.59,N,Y,Large Cap,,CRISIL LTD
CRIZAC,EQ,INE0S4R01014,544439,15.86,3.5,0,40,3543,6.89,N,Y,Small Cap,,CRIZAC LIMITED
CSBBANK,EQ,INE679A01013,542867,17.6,3.5,0,39,5964,14.24,N,Y,Mid Cap,,CSB BANK LIMITED
CUB,EQ,INE491A01021,532210,14.4,3.5,0,36,20270,58.7,N,Y,Large Cap,,CITY UNION BANK LTD
CYIENT,EQ,INE136B01020,532175,14.19,3.5,0,36,9934,58.2,N,Y,Mid Cap,,CYIENT LIMITED
CYIENTDLM,EQ,INE055S01018,543933,16.04,3.5,0,40,3706,13.17,N,Y,Small Cap,,CYIENT DLM LIMITED
DATAMATICS,EQ,INE365B01017,532528,19.69,3.5,0,41,4770,9.83,N,Y,Small Cap,,DATAMATICS GLOBAL SER LTD
DATAPATTNS,EQ,INE0IX101010,543428,21.68,3.5,0,43,25865,628.62,N,Y,Large Cap,,DATA PATTERNS INDIA LTD
DBL,EQ,INE917M01012,540047,15.29,3.5,0,37,7401,5.79,N,Y,Mid Cap,,DILIP BUILDCON LIMITED
DCAL,EQ,INE385W01011,540701,23.7,3.5,0,45,2731,7.14,N,Y,Small Cap,,DISHMAN CARBO AMCIS LTD
DCBBANK,EQ,INE503A01015,532772,14.92,3.5,0,36,5972,17.28,N,Y,Mid Cap,,DCB BANK LIMITED
DCXINDIA,EQ,INE0KL801015,543650,21.02,3.5,0,43,2200,24.64,N,Y,Small Cap,,DCX SYSTEMS LIMITED
DDEVPLSTIK,EQ,INE0HR601026,543547,19.64,3.5,0,41,2914,6.75,N,Y,Small Cap,,DDEV PLASTIKS IND LTD
DEEPAKFERT,EQ,INE501A01019,500645,18.43,3.5,0,40,20232,58.78,N,Y,Large Cap,,DEEPAK FERTILIZERS & PETR
DEEPAKNTR,EQ,INE288B01029,506401,12.33,3.5,0,34,22439,21.75,N,Y,Large Cap,,DEEPAK NITRITE LTD
DEEPINDS,EQ,INE0FHS01024,543288,18.65,3.5,0,40,3105,18.25,N,Y,Small Cap,,DEEP INDUSTRIES LIMITED
DELTACORP,EQ,INE124G01033,532848,21.05,3.5,0,43,1739,22.14,N,Y,Small Cap,,DELTA CORP LIMITED
DEN,EQ,INE947J01015,533137,14.77,3.5,0,40,1553,8.62,N,Y,Small Cap,,DEN NETWORKS LTD
DEVYANI,EQ,INE872J01023,543330,15.35,3.5,0,37,14219,50.42,N,Y,Mid Cap,,DEVYANI INTERNATIONAL LTD
DIACABS,EQ,INE989C01038,522163,19.58,3.5,0,41,10773,126.33,N,Y,Mid Cap,,DIAMOND POWER INFRA LTD
DLINKINDIA,EQ,INE250K01012,533146,15.5,3.5,0,40,1838,12.61,N,Y,Small Cap,,D-LINK INDIA LTD
DOMS,EQ,INE321T01012,544045,12.9,3.5,0,34,13939,131.86,N,Y,Mid Cap,,DOMS INDUSTRIES LIMITED
DREDGECORP,EQ,INE506A01018,523618,25.22,3.5,0,47,3242,45.53,N,Y,Small Cap,,DREDGING CORP OF INDIA
DYCL,EQ,INE600Y01019,540795,24.57,3.5,0,46,1713,27.94,N,Y,Small Cap,,DYNAMIC CABLES LIMITED
DYNAMATECH,EQ,INE221B01012,505242,18.61,3.5,0,40,7189,15.07,N,Y,Mid Cap,,DYNAMATIC TECHNOLOGIES
EASEMYTRIP,EQ,INE07O001026,543272,23.63,3.5,0,45,2742,57.04,N,Y,Small Cap,,EASY TRIP PLANNERS LTD
EBGNG,EQ,INE18JU01028,544455,17.99,3.5,0,39,6065,49.35,N,Y,Mid Cap,,GNG ELECTRONICS LIMITED
ECLERX,EQ,INE738I01010,532927,17.86,3.5,0,39,13112,29.43,N,Y,Mid Cap,,ECLERX SERVICES LTD
EDELWEISS,EQ,INE532F01054,532922,18.44,3.5,0,40,11866,83.89,N,Y,Mid Cap,,EDELWEISS FIN SERV LTD
EFCIL,EQ,INE886D01026,512008,19.86,3.5,0,41,2765,17.18,N,Y,Small Cap,,EFC (I) LIMITED
